n,z_position, force, x_location, y_location, sequence, attachment_tries, time
S,0.00,-3.03,0,0,0,0,10975297
S,0.00,-3.02,0,0,0,0,10975397
S,0.00,-3.02,0,0,0,0,10975497
S,0.00,-3.02,0,0,0,0,10975597
S,0.00,-3.02,0,0,0,0,10975697
S,0.00,-3.02,0,0,0,0,10975797
S,0.00,-3.02,0,0,0,0,10975897
S,0.00,-3.02,0,0,0,0,10975997
S,0.00,-3.02,0,0,0,0,10976097
S,0.00,-3.02,0,0,0,0,10976197
S,0.00,-3.02,0,0,0,0,10976297
S,0.00,-3.02,0,0,0,0,10976397
S,0.00,-3.02,0,0,0,0,10976497
S,0.00,-3.02,0,0,0,0,10976597
S,0.00,-3.02,0,0,0,0,10976697
S,0.00,-3.02,0,0,0,0,10976797
S,0.00,-3.02,0,0,0,0,10976897
S,0.00,-3.02,0,0,0,0,10976997
S,0.00,-3.02,0,0,0,0,10977097
S,0.00,-3.02,0,0,0,0,10977197
S,0.00,-3.02,0,0,0,0,10977297
S,0.00,-3.02,0,0,0,0,10977397
S,0.00,-3.02,0,0,0,0,10977497
S,0.00,-3.02,0,0,0,0,10977597
S,0.00,-3.02,0,0,0,0,10977697
S,0.00,-3.02,0,0,0,0,10977797
S,0.00,-3.02,0,0,0,0,10977897
S,0.00,-3.02,0,0,0,0,10977997
S,0.00,-3.02,0,0,0,0,10978097
S,0.00,-3.02,0,0,0,0,10978197
S,0.00,-3.02,0,0,0,0,10978297
S,0.00,-3.02,0,0,0,0,10978397
S,0.00,-3.02,0,0,0,0,10978497
S,0.00,-3.02,0,0,0,0,10978597
S,0.00,-3.02,0,0,0,0,10978697
S,0.00,-3.02,0,0,0,0,10978797
S,0.00,-3.02,0,0,0,0,10978897
S,0.00,-3.02,0,0,0,0,10978997
S,0.00,-3.02,0,0,0,0,10979097
S,0.00,-3.02,0,0,0,0,10979197
S,0.00,-3.02,0,0,0,0,10979297
S,0.00,-3.02,0,0,0,0,10979397
S,0.00,-3.02,0,0,0,0,10979497
S,0.00,-3.02,0,0,0,0,10979597
S,0.00,-3.02,0,0,0,0,10979697
S,0.00,-3.01,0,0,0,0,10979797
S,0.00,-3.01,0,0,0,0,10979897
S,0.00,-3.01,0,0,0,0,10979997
S,0.00,-3.01,0,0,0,0,10980097
S,0.00,-3.01,0,0,0,0,10980197
S,0.00,-3.01,0,0,0,0,10980297
S,0.00,-3.01,0,0,0,0,10980397
S,0.00,-3.01,0,0,0,0,10980497
S,0.00,-3.01,0,0,0,0,10980597
S,0.00,-3.01,0,0,0,0,10980697
S,0.00,-3.01,0,0,0,0,10980797
S,0.00,-3.01,0,0,0,0,10980897
S,0.00,-3.01,0,0,0,0,10980997
S,0.00,-3.01,0,0,0,0,10981097
S,0.00,-3.01,0,0,0,0,10981197
S,0.00,-3.01,0,0,0,0,10981297
S,0.00,-3.01,0,0,0,0,10981397
S,0.00,-3.01,0,0,0,0,10981497
S,0.00,-3.01,0,0,0,0,10981597
S,0.00,-3.01,0,0,0,0,10981697
S,0.00,-3.01,0,0,0,0,10981797
S,0.00,-3.00,0,0,0,0,10981897
S,0.00,-3.01,0,0,0,0,10981997
S,0.00,-3.01,0,0,0,0,10982097
S,0.00,-3.01,0,0,0,0,10982197
S,0.00,-3.00,0,0,0,0,10982297
S,0.00,-3.01,0,0,0,0,10982397
S,0.00,-3.00,0,0,0,0,10982497
S,0.00,-3.00,0,0,0,0,10982597
S,0.00,-3.00,0,0,0,0,10982697
S,0.00,-3.00,0,0,0,0,10982797
