n,z_position, force, x_location, y_location, sequence, attachment_tries, time
S,0.00,1494553.00,0,0,0,0,9846
S,0.00,1494515.00,0,0,0,0,9938
S,0.00,1494533.00,0,0,0,0,10030
S,0.00,1494570.00,0,0,0,0,10121
S,0.00,1494491.00,0,0,0,0,10213
S,0.00,1494458.00,0,0,0,0,10305
S,0.00,1494461.00,0,0,0,0,10397
S,0.00,1494536.00,0,0,0,0,10580
S,0.00,1494491.00,0,0,0,0,10672
S,0.00,1494466.00,0,0,0,0,10763
S,0.00,1494457.00,0,0,0,0,10855
S,0.00,1494489.00,0,0,0,0,10947
S,0.00,1494466.00,0,0,0,0,11038
S,0.00,1494483.00,0,0,0,0,11130
S,0.00,1494511.00,0,0,0,0,11222
S,0.00,1494514.00,0,0,0,0,11314
S,0.00,1494520.00,0,0,0,0,11405
S,0.00,1494487.00,0,0,0,0,11497
S,0.00,1494403.00,0,0,0,0,11680
S,0.00,1494429.00,0,0,0,0,11772
S,0.00,1494456.00,0,0,0,0,11864
S,0.00,1494430.00,0,0,0,0,11955
S,0.00,1494431.00,0,0,0,0,12047
S,0.00,1494366.00,0,0,0,0,12139
S,0.00,1494367.00,0,0,0,0,12230
S,0.00,1494399.00,0,0,0,0,12322
S,0.00,1494392.00,0,0,0,0,12414
S,0.00,1494424.00,0,0,0,0,12506
S,0.00,1494409.00,0,0,0,0,12597
S,0.00,1494360.00,0,0,0,0,12781
S,0.00,1494378.00,0,0,0,0,12872
S,0.00,1494347.00,0,0,0,0,12964
S,0.00,1494362.00,0,0,0,0,13056
S,0.00,1494384.00,0,0,0,0,13147
S,0.00,1494376.00,0,0,0,0,13239
S,0.00,1494397.00,0,0,0,0,13331
S,0.00,1494429.00,0,0,0,0,13423
S,0.00,1494318.00,0,0,0,0,13514
S,0.00,1494301.00,0,0,0,0,13606
S,0.00,1494242.00,0,0,0,0,13698
S,0.00,0.01,0,0,0,0,13881
S,0.00,0.01,0,0,0,0,13973
S,0.00,0.01,0,0,0,0,14064
S,0.00,0.01,0,0,0,0,14156
S,0.00,0.01,0,0,0,0,14248
S,0.00,0.01,0,0,0,0,14339
S,0.00,0.01,0,0,0,0,14431
S,0.00,0.01,0,0,0,0,14523
S,0.00,0.01,0,0,0,0,14615
