n,z_position, force, x_location, y_location, sequence, attachment_tries, time
S,0.00,9.50,0,0,0,0,425307
S,0.00,9.39,0,0,0,0,425407
S,0.00,9.14,0,0,0,0,425507
S,0.00,9.25,0,0,0,0,425607
S,0.00,9.41,0,0,0,0,425707
S,0.00,9.41,0,0,0,0,425807
S,0.00,9.25,0,0,0,0,425907
S,0.00,9.06,0,0,0,0,426007
S,0.00,9.00,0,0,0,0,426107
S,0.00,8.99,0,0,0,0,426207
S,0.00,9.10,0,0,0,0,426307
S,0.00,9.16,0,0,0,0,426407
S,0.00,9.02,0,0,0,0,426507
S,0.00,9.18,0,0,0,0,426607
S,0.00,9.17,0,0,0,0,426707
S,0.00,8.94,0,0,0,0,426807
S,0.00,8.90,0,0,0,0,426907
S,0.00,8.95,0,0,0,0,427007
S,0.00,9.01,0,0,0,0,427107
S,0.00,8.99,0,0,0,0,427207
S,0.00,9.07,0,0,0,0,427307
S,0.00,9.25,0,0,0,0,427407
S,0.00,9.15,0,0,0,0,427507
S,0.00,9.13,0,0,0,0,427607
S,0.00,9.07,0,0,0,0,427707
S,0.00,9.12,0,0,0,0,427807
S,0.00,9.12,0,0,0,0,427907
S,0.00,9.28,0,0,0,0,428007
S,0.00,9.63,0,0,0,0,428107
S,0.00,9.72,0,0,0,0,428207
S,0.00,9.72,0,0,0,0,428307
S,0.00,9.80,0,0,0,0,428407
S,0.00,9.79,0,0,0,0,428507
S,0.00,9.65,0,0,0,0,428607
S,0.00,9.68,0,0,0,0,428707
S,0.00,9.49,0,0,0,0,428807
S,0.00,9.45,0,0,0,0,428907
S,0.00,9.37,0,0,0,0,429007
S,0.00,9.39,0,0,0,0,429107
S,0.00,9.40,0,0,0,0,429207
S,0.00,9.15,0,0,0,0,429307
S,0.00,9.07,0,0,0,0,429407
S,0.00,9.18,0,0,0,0,429507
S,0.00,9.13,0,0,0,0,429607
S,0.00,9.17,0,0,0,0,429707
S,0.00,9.00,0,0,0,0,429807
S,0.00,8.88,0,0,0,0,429907
S,0.00,8.83,0,0,0,0,430007
S,0.00,8.72,0,0,0,0,430107
S,0.00,8.77,0,0,0,0,430207
S,0.00,9.06,0,0,0,0,430307
S,0.00,9.18,0,0,0,0,430407
S,0.00,9.06,0,0,0,0,430507
S,0.00,8.95,0,0,0,0,430607
S,0.00,8.98,0,0,0,0,430707
S,0.00,8.99,0,0,0,0,430807
S,0.00,8.95,0,0,0,0,430907
S,0.00,8.93,0,0,0,0,431007
S,0.00,8.89,0,0,0,0,431107
S,0.00,8.67,0,0,0,0,431207
S,0.00,8.41,0,0,0,0,431307
S,0.00,8.32,0,0,0,0,431407
S,0.00,8.25,0,0,0,0,431507
S,0.00,8.22,0,0,0,0,431607
S,0.00,8.19,0,0,0,0,431707
S,0.00,8.14,0,0,0,0,431807
S,0.00,8.11,0,0,0,0,431907
S,0.00,8.14,0,0,0,0,432007
S,0.00,8.18,0,0,0,0,432107
S,0.00,8.27,0,0,0,0,432207
S,0.00,8.25,0,0,0,0,432307
S,0.00,8.27,0,0,0,0,432407
S,0.00,8.29,0,0,0,0,432507
S,0.00,8.22,0,0,0,0,432607
S,0.00,8.27,0,0,0,0,432707
S,0.00,8.49,0,0,0,0,432807
S,0.00,8.68,0,0,0,0,432907
S,0.00,8.62,0,0,0,0,433007
S,0.00,8.72,0,0,0,0,433107
S,0.00,8.61,0,0,0,0,433207
S,0.00,8.58,0,0,0,0,433307
S,0.00,8.77,0,0,0,0,433407
S,0.00,8.78,0,0,0,0,433507
S,0.00,8.68,0,0,0,0,433607
S,0.00,8.62,0,0,0,0,433707
S,0.00,8.58,0,0,0,0,433807
S,0.00,8.52,0,0,0,0,433907
S,0.00,8.47,0,0,0,0,434007
S,0.00,8.75,0,0,0,0,434107
S,0.00,8.82,0,0,0,0,434207
S,0.00,8.88,0,0,0,0,434307
S,0.00,8.89,0,0,0,0,434407
S,0.00,8.90,0,0,0,0,434507
S,0.00,8.96,0,0,0,0,434607
S,0.00,8.96,0,0,0,0,434707
S,0.00,8.91,0,0,0,0,434807
S,0.00,8.80,0,0,0,0,434907
S,0.00,8.77,0,0,0,0,435007
S,0.00,8.83,0,0,0,0,435107
S,0.00,8.81,0,0,0,0,435207
S,0.00,8.78,0,0,0,0,435307
S,0.00,8.80,0,0,0,0,435407
S,0.00,8.82,0,0,0,0,435507
S,0.00,8.93,0,0,0,0,435607
S,0.00,8.95,0,0,0,0,435707
S,0.00,8.94,0,0,0,0,435807
S,0.00,9.01,0,0,0,0,435907
S,0.00,8.99,0,0,0,0,436007
S,0.00,8.88,0,0,0,0,436107
S,0.00,8.92,0,0,0,0,436207
S,0.00,8.91,0,0,0,0,436307
S,0.00,8.85,0,0,0,0,436407
S,0.00,8.79,0,0,0,0,436507
S,0.00,8.83,0,0,0,0,436607
S,0.00,8.78,0,0,0,0,436707
S,0.00,8.78,0,0,0,0,436807
S,0.00,8.79,0,0,0,0,436907
S,0.00,8.79,0,0,0,0,437007
S,0.00,8.72,0,0,0,0,437107
