n,z_position, force, x_location, y_location, sequence, attachment_tries, time
S,0.00,-0.19,0,0,0,0,38300
S,0.00,-0.17,0,0,0,0,38400
S,0.00,-0.16,0,0,0,0,38500
S,0.00,-0.15,0,0,0,0,38600
S,0.00,-0.15,0,0,0,0,38700
S,0.00,-0.14,0,0,0,0,38800
S,0.00,-0.14,0,0,0,0,38900
S,0.00,-0.14,0,0,0,0,39000
S,0.00,-0.14,0,0,0,0,39100
S,0.00,-0.13,0,0,0,0,39200
S,0.00,-0.13,0,0,0,0,39300
S,0.00,-0.14,0,0,0,0,39400
S,0.00,-0.14,0,0,0,0,39500
S,0.00,-0.13,0,0,0,0,39600
S,0.00,-0.13,0,0,0,0,39700
S,0.00,-0.13,0,0,0,0,39800
S,0.00,-0.13,0,0,0,0,39900
S,0.00,-0.12,0,0,0,0,40000
S,0.00,-0.03,0,0,0,0,40100
S,0.00,-0.14,0,0,0,0,40200
S,0.00,-0.56,0,0,0,0,40300
S,0.00,-0.78,0,0,0,0,40400
S,0.00,-0.76,0,0,0,0,40500
S,0.00,-0.77,0,0,0,0,40600
S,0.00,-1.03,0,0,0,0,40700
S,0.00,-1.47,0,0,0,0,40800
S,0.00,-0.98,0,0,0,0,40900
S,0.00,-0.06,0,0,0,0,41000
S,0.00,1.43,0,0,0,0,41100
S,0.00,2.49,0,0,0,0,41200
S,0.00,2.39,0,0,0,0,41300
S,0.00,2.25,0,0,0,0,41400
S,0.00,2.12,0,0,0,0,41500
S,0.00,2.08,0,0,0,0,41600
S,0.00,2.04,0,0,0,0,41700
S,0.00,2.01,0,0,0,0,41800
S,0.00,1.98,0,0,0,0,41900
S,0.00,1.96,0,0,0,0,42000
S,0.00,1.93,0,0,0,0,42100
S,0.00,1.91,0,0,0,0,42200
S,0.00,1.89,0,0,0,0,42300
S,0.00,1.87,0,0,0,0,42400
S,0.00,1.85,0,0,0,0,42500
S,0.00,1.82,0,0,0,0,42600
S,0.00,1.80,0,0,0,0,42700
S,0.00,1.79,0,0,0,0,42800
S,0.00,1.77,0,0,0,0,42900
S,0.00,1.76,0,0,0,0,43000
S,0.00,1.75,0,0,0,0,43100
S,0.00,1.74,0,0,0,0,43200
S,0.00,1.72,0,0,0,0,43300
S,0.00,1.56,0,0,0,0,43400
S,0.00,0.91,0,0,0,0,43500
S,0.00,0.56,0,0,0,0,43600
S,0.00,-0.05,0,0,0,0,43700
S,0.00,-0.75,0,0,0,0,43800
S,0.00,-1.46,0,0,0,0,43900
S,0.00,-2.13,0,0,0,0,44000
S,0.00,-2.81,0,0,0,0,44100
S,0.00,-3.46,0,0,0,0,44200
S,0.00,-4.14,0,0,0,0,44300
S,0.00,-4.88,0,0,0,0,44400
S,0.00,-5.57,0,0,0,0,44500
S,0.00,-6.35,0,0,0,0,44600
S,0.00,-7.17,0,0,0,0,44700
S,0.00,-8.76,0,0,0,0,44800
