n,z_position, force, x_location, y_location, sequence, attachment_tries, time
S,0.00,-0.11,0,0,0,0,27502
S,0.00,-0.11,0,0,0,0,27602
S,0.00,-0.11,0,0,0,0,27702
S,0.00,-0.11,0,0,0,0,27802
S,0.00,-0.11,0,0,0,0,27902
S,0.00,-0.11,0,0,0,0,28002
S,0.00,-0.11,0,0,0,0,28102
S,0.00,-0.11,0,0,0,0,28202
S,0.00,-0.11,0,0,0,0,28302
S,0.00,-0.11,0,0,0,0,28402
S,0.00,-0.11,0,0,0,0,28502
S,0.00,-0.11,0,0,0,0,28602
S,0.00,-0.11,0,0,0,0,28702
S,0.00,-0.11,0,0,0,0,28802
S,0.00,-0.11,0,0,0,0,28902
S,0.00,-0.11,0,0,0,0,29002
S,0.00,-0.11,0,0,0,0,29102
S,0.00,-0.11,0,0,0,0,29202
S,0.00,-0.11,0,0,0,0,29302
S,0.00,-0.11,0,0,0,0,29402
S,0.00,-0.11,0,0,0,0,29502
S,0.00,-0.11,0,0,0,0,29602
S,0.00,-0.11,0,0,0,0,29702
S,0.00,-0.11,0,0,0,0,29802
S,0.00,-0.11,0,0,0,0,29902
S,0.00,-0.11,0,0,0,0,30002
S,0.00,-0.11,0,0,0,0,30102
S,0.00,-0.11,0,0,0,0,30202
S,0.00,-0.11,0,0,0,0,30302
S,0.00,-0.11,0,0,0,0,30402
S,0.00,-0.11,0,0,0,0,30502
S,0.00,-0.11,0,0,0,0,30602
S,0.00,-0.11,0,0,0,0,30702
S,0.00,-0.11,0,0,0,0,30802
S,0.00,-0.11,0,0,0,0,30902
S,0.00,-0.11,0,0,0,0,31002
S,0.00,-0.11,0,0,0,0,31102
S,0.00,-0.11,0,0,0,0,31202
S,0.00,-0.11,0,0,0,0,31302
S,0.00,-0.11,0,0,0,0,31402
S,0.00,-0.11,0,0,0,0,31502
S,0.00,-0.11,0,0,0,0,31602
S,0.00,-0.11,0,0,0,0,31702
S,0.00,-0.11,0,0,0,0,31802
S,0.00,-0.11,0,0,0,0,31902
S,0.00,-0.11,0,0,0,0,32002
S,0.00,-0.11,0,0,0,0,32102
S,0.00,-0.11,0,0,0,0,32202
S,0.00,-0.11,0,0,0,0,32302
S,0.00,-0.11,0,0,0,0,32402
S,0.00,-0.11,0,0,0,0,32502
S,0.00,-0.11,0,0,0,0,32602
S,0.00,-0.11,0,0,0,0,32702
S,0.00,-0.11,0,0,0,0,32802
S,0.00,-0.11,0,0,0,0,32902
S,0.00,-0.11,0,0,0,0,33002
S,0.00,-0.11,0,0,0,0,33102
S,0.00,-0.11,0,0,0,0,33202
S,0.00,-0.11,0,0,0,0,33302
S,0.00,-0.11,0,0,0,0,33402
S,0.00,-0.11,0,0,0,0,33502
S,0.00,-0.10,0,0,0,0,33602
S,0.00,-0.10,0,0,0,0,33702
S,0.00,-0.10,0,0,0,0,33802
S,0.00,-0.10,0,0,0,0,33902
S,0.00,-0.10,0,0,0,0,34002
S,0.00,-0.10,0,0,0,0,34102
S,0.00,-0.10,0,0,0,0,34202
S,0.00,-0.10,0,0,0,0,34302
S,0.00,-0.10,0,0,0,0,34402
S,0.00,-0.10,0,0,0,0,34502
S,0.00,-0.10,0,0,0,0,34602
S,0.00,-0.10,0,0,0,0,34702
S,0.00,-0.10,0,0,0,0,34802
S,0.00,-0.10,0,0,0,0,34902
S,0.00,-0.11,0,0,0,0,35002
S,0.00,-0.10,0,0,0,0,35102
S,0.00,-0.10,0,0,0,0,35202
S,0.00,-0.10,0,0,0,0,35302
S,0.00,-0.10,0,0,0,0,35402
S,0.00,-0.10,0,0,0,0,35502
S,0.00,-0.10,0,0,0,0,35602
S,0.00,-0.10,0,0,0,0,35702
S,0.00,-0.11,0,0,0,0,35802
S,0.00,-0.11,0,0,0,0,35902
S,0.00,-0.11,0,0,0,0,36002
S,0.00,-0.11,0,0,0,0,36102
S,0.00,-0.11,0,0,0,0,36202
S,0.00,-0.11,0,0,0,0,36302
S,0.00,-0.11,0,0,0,0,36402
S,0.00,-0.11,0,0,0,0,36502
S,0.00,-0.11,0,0,0,0,36602
S,0.00,-0.11,0,0,0,0,36702
S,0.00,-0.11,0,0,0,0,36802
S,0.00,-0.11,0,0,0,0,36902
S,0.00,-0.11,0,0,0,0,37002
S,0.00,-0.11,0,0,0,0,37102
S,0.00,-0.11,0,0,0,0,37202
S,0.00,-0.11,0,0,0,0,37302
S,0.00,-0.11,0,0,0,0,37402
S,0.00,-0.11,0,0,0,0,37502
S,0.00,-0.11,0,0,0,0,37602
S,0.00,-0.11,0,0,0,0,37702
S,0.00,-0.11,0,0,0,0,37802
S,0.00,-0.11,0,0,0,0,37902
S,0.00,-0.11,0,0,0,0,38002
S,0.00,-0.12,0,0,0,0,38102
S,0.00,-0.11,0,0,0,0,38202
S,0.00,-0.11,0,0,0,0,38302
S,0.00,-0.11,0,0,0,0,38402
S,0.00,-0.11,0,0,0,0,38502
S,0.00,-0.12,0,0,0,0,38602
S,0.00,-0.12,0,0,0,0,38702
S,0.00,-0.12,0,0,0,0,38802
S,0.00,-0.12,0,0,0,0,38902
S,0.00,-0.12,0,0,0,0,39002
S,0.00,-0.12,0,0,0,0,39102
S,0.00,-0.12,0,0,0,0,39202
S,0.00,-0.12,0,0,0,0,39302
S,0.00,-0.12,0,0,0,0,39402
S,0.00,-0.12,0,0,0,0,39502
S,0.00,-0.12,0,0,0,0,39602
S,0.00,-0.12,0,0,0,0,39702
S,0.00,-0.12,0,0,0,0,39802
S,0.00,-0.12,0,0,0,0,39902
S,0.00,-0.12,0,0,0,0,40002
S,0.00,-0.13,0,0,0,0,40102
S,0.00,-0.13,0,0,0,0,40202
S,0.00,-0.12,0,0,0,0,40302
S,0.00,-0.12,0,0,0,0,40402
S,0.00,-0.12,0,0,0,0,40502
S,0.00,-0.12,0,0,0,0,40602
S,0.00,-0.12,0,0,0,0,40702
S,0.00,-0.12,0,0,0,0,40802
S,0.00,-0.12,0,0,0,0,40902
S,0.00,-0.13,0,0,0,0,41002
S,0.00,-0.13,0,0,0,0,41102
S,0.00,-0.13,0,0,0,0,41202
S,0.00,-0.13,0,0,0,0,41302
S,0.00,-0.13,0,0,0,0,41402
S,0.00,-0.13,0,0,0,0,41502
S,0.00,-0.13,0,0,0,0,41602
S,0.00,-0.13,0,0,0,0,41702
S,0.00,-0.13,0,0,0,0,41802
S,0.00,-0.13,0,0,0,0,41902
S,0.00,-0.13,0,0,0,0,42002
S,0.00,-0.13,0,0,0,0,42102
S,0.00,-0.13,0,0,0,0,42202
S,0.00,-0.13,0,0,0,0,42302
S,0.00,-0.13,0,0,0,0,42402
S,0.00,-0.13,0,0,0,0,42502
S,0.00,-0.13,0,0,0,0,42602
S,0.00,-0.13,0,0,0,0,42702
S,0.00,-0.13,0,0,0,0,42802
S,0.00,-0.13,0,0,0,0,42902
S,0.00,-0.13,0,0,0,0,43002
S,0.00,-0.13,0,0,0,0,43102
S,0.00,-0.13,0,0,0,0,43202
S,0.00,-0.13,0,0,0,0,43302
S,0.00,-0.13,0,0,0,0,43402
S,0.00,-0.13,0,0,0,0,43502
S,0.00,-0.13,0,0,0,0,43602
S,0.00,-0.13,0,0,0,0,43702
S,0.00,-0.13,0,0,0,0,43802
S,0.00,-0.13,0,0,0,0,43902
S,0.00,-0.12,0,0,0,0,44002
S,0.00,-0.13,0,0,0,0,44102
S,0.00,-0.13,0,0,0,0,44202
S,0.00,-0.12,0,0,0,0,44302
S,0.00,-0.13,0,0,0,0,44402
S,0.00,-0.13,0,0,0,0,44502
S,0.00,-0.13,0,0,0,0,44602
S,0.00,-0.13,0,0,0,0,44702
S,0.00,-0.12,0,0,0,0,44802
S,0.00,-0.12,0,0,0,0,44902
S,0.00,-0.12,0,0,0,0,45002
S,0.00,-0.12,0,0,0,0,45102
S,0.00,-0.13,0,0,0,0,45202
S,0.00,-0.13,0,0,0,0,45302
S,0.00,-0.13,0,0,0,0,45402
S,0.00,-0.13,0,0,0,0,45502
S,0.00,-0.13,0,0,0,0,45602
S,0.00,-0.13,0,0,0,0,45702
S,0.00,-0.12,0,0,0,0,45802
S,0.00,-0.13,0,0,0,0,45902
S,0.00,-0.13,0,0,0,0,46002
S,0.00,-0.13,0,0,0,0,46102
S,0.00,-0.12,0,0,0,0,46202
S,0.00,-0.12,0,0,0,0,46302
S,0.00,-0.12,0,0,0,0,46402
S,0.00,-0.12,0,0,0,0,46502
S,0.00,-0.12,0,0,0,0,46602
S,0.00,-0.12,0,0,0,0,46702
S,0.00,-0.12,0,0,0,0,46802
S,0.00,-0.12,0,0,0,0,46902
S,0.00,-0.13,0,0,0,0,47002
S,0.00,-0.13,0,0,0,0,47102
S,0.00,-0.12,0,0,0,0,47202
S,0.00,-0.12,0,0,0,0,47302
