n,ir_data, pressure, x_location, y_location, sequence, attachment_tries, time
S,563,12471,0,0,0,0,158500
S,567,12482,0,0,0,0,158600
S,554,12469,0,0,0,0,158700
S,564,12472,0,0,0,0,158800
S,548,12475,0,0,0,0,158900
S,545,12475,0,0,0,0,159000
S,551,12473,0,0,0,0,159100
S,550,12478,0,0,0,0,159200
S,574,12474,0,0,0,0,159300
S,563,12480,0,0,0,0,159400
S,561,12477,0,0,0,0,159500
S,555,12478,0,0,0,0,159600
S,564,12478,0,0,0,0,159700
S,547,12471,0,0,0,0,159800
S,576,12474,0,0,0,0,159900
S,567,12476,0,0,0,0,160000
S,551,12474,0,0,0,0,160100
S,567,12477,0,0,0,0,160200
S,561,12476,0,0,0,0,160300
S,555,12475,0,0,0,0,160400
S,578,12474,0,0,0,0,160500
S,561,12470,0,0,0,0,160600
S,587,12480,0,0,0,0,160700
S,554,12474,0,0,0,0,160800
S,580,12478,0,0,0,0,160900
S,559,12475,0,0,0,0,161000
S,587,12483,0,0,0,0,161100
S,565,12472,0,0,0,0,161200
S,579,12481,0,0,0,0,161300
S,566,12471,0,0,0,0,161400
S,599,12472,0,0,0,0,161500
S,560,12476,0,0,0,0,161600
S,588,12476,0,0,0,0,161700
S,590,12471,0,0,0,0,161800
S,568,12477,0,0,0,0,161900
S,585,12478,0,0,0,0,162000
S,593,12480,0,0,0,0,162100
S,595,12470,0,0,0,0,162200
S,591,12476,0,0,0,0,162300
S,585,12470,0,0,0,0,162400
S,629,12475,0,0,0,0,162500
S,599,12477,0,0,0,0,162600
S,631,12476,0,0,0,0,162700
S,624,12470,0,0,0,0,162800
S,626,12475,0,0,0,0,162900
S,638,12472,0,0,0,0,163000
S,617,12476,0,0,0,0,163100
S,629,12479,0,0,0,0,163200
S,633,12475,0,0,0,0,163300
S,619,12477,0,0,0,0,163400
S,629,12471,0,0,0,0,163500
S,619,12478,0,0,0,0,163600
S,630,12475,0,0,0,0,163700
S,610,12477,0,0,0,0,163800
S,617,12479,0,0,0,0,163900
S,601,12472,0,0,0,0,164000
S,604,12475,0,0,0,0,164100
S,654,12473,0,0,0,0,164200
S,599,12471,0,0,0,0,164300
S,578,12471,0,0,0,0,164400
S,598,12471,0,0,0,0,164500
S,589,12478,0,0,0,0,164600
S,596,12477,0,0,0,0,164700
S,598,12470,0,0,0,0,164800
S,596,12472,0,0,0,0,164900
S,604,12470,0,0,0,0,165000
S,642,12476,0,0,0,0,165100
S,645,12480,0,0,0,0,165200
S,664,12474,0,0,0,0,165300
S,844,12474,0,0,0,0,165400
S,991,12469,0,0,0,0,165500
S,1232,12473,0,0,0,0,165600
S,1431,12477,0,0,0,0,165700
S,1457,12466,0,0,0,0,165800
