n,ir_data, pressure, x_location, y_location, sequence, time
S,1685,12451,0,0,0,8400
S,1695,12449,0,0,0,8500
S,1687,12449,0,0,0,8600
S,1681,12447,0,0,0,8700
S,1705,12448,0,0,0,8800
S,1698,12449,0,0,0,8900
S,1707,12451,0,0,0,9000
S,1703,12442,0,0,0,9100
S,1698,12443,0,0,0,9200
S,1675,12447,0,0,0,9300
S,1676,12442,0,0,0,9400
S,1671,12443,0,0,0,9500
S,1684,12447,0,0,0,9600
S,1682,12447,0,0,0,9700
S,1682,12442,0,0,0,9800
S,1675,12448,0,0,0,9900
S,1665,12447,0,0,0,10000
S,1657,12453,0,0,0,10100
S,1634,12450,0,0,0,10200
S,1635,12449,0,0,0,10300
S,1643,12446,0,0,0,10400
S,1634,12448,0,0,0,10500
S,1633,12441,0,0,0,10600
S,1631,12447,0,0,0,10700
S,1618,12442,0,0,0,10800
S,1615,12435,0,0,0,10900
S,1616,12450,0,0,0,11000
S,1618,12449,0,0,0,11100
S,1622,12447,0,0,0,11200
S,1619,12445,0,0,0,11300
S,1620,12451,0,0,0,11400
S,1608,12445,0,0,0,11500
S,1618,12446,0,0,0,11600
S,1615,12445,0,0,0,11700
S,1591,12448,0,0,0,11800
S,1590,12445,0,0,0,11900
S,1585,12444,0,0,0,12000
S,1586,12449,0,0,0,12100
S,1589,12446,0,0,0,12200
S,1581,12446,0,0,0,12300
S,1578,12443,0,0,0,12400
S,1583,12443,0,0,0,12500
S,1586,12449,0,0,0,12600
S,1593,12449,0,0,0,12700
S,1584,12445,0,0,0,12800
S,1592,12445,0,0,0,12900
S,1587,12452,0,0,0,13000
S,1576,12445,0,0,0,13100
S,1579,12446,0,0,0,13200
S,1571,12447,0,0,0,13300
S,1564,12444,0,0,0,13400
S,1580,12450,0,0,0,13500
S,1580,12447,0,0,0,13600
S,1573,12447,0,0,0,13700
S,1578,12449,0,0,0,13800
S,1577,12447,0,0,0,13900
S,1572,12448,0,0,0,14000
S,1597,12447,0,0,0,14100
S,1591,12446,0,0,0,14200
S,1577,12446,0,0,0,14300
S,1572,12452,0,0,0,14400
S,1576,12446,0,0,0,14500
S,1566,12451,0,0,0,14600
S,1598,12453,0,0,0,14700
S,1584,12454,0,0,0,14800
S,1574,12453,0,0,0,14900
S,1577,12442,0,0,0,15000
S,1585,12450,0,0,0,15100
S,1612,12450,0,0,0,15200
S,1600,12446,0,0,0,15300
S,1588,12447,0,0,0,15400
S,1600,12443,0,0,0,15500
S,1598,12443,0,0,0,15600
S,1599,12440,0,0,0,15700
S,1602,12449,0,0,0,15800
S,1608,12450,0,0,0,15900
S,1604,12447,0,0,0,16000
S,1609,12447,0,0,0,16100
S,1616,12445,0,0,0,16200
S,1617,12447,0,0,0,16300
S,1623,12445,0,0,0,16400
S,1616,12444,0,0,0,16500
S,1615,12445,0,0,0,16600
S,1627,12442,0,0,0,16700
S,1619,12444,0,0,0,16800
S,1615,12444,0,0,0,16900
S,1609,12446,0,0,0,17000
S,1614,12445,0,0,0,17100
S,1613,12444,0,0,0,17200
S,1624,12443,0,0,0,17300
S,1609,12437,0,0,0,17400
S,1629,12449,0,0,0,17500
S,1618,12451,0,0,0,17600
S,1609,12451,0,0,0,17700
S,1623,12445,0,0,0,17800
S,1622,12448,0,0,0,17900
S,1629,12447,0,0,0,18000
S,1617,12437,0,0,0,18100
S,1614,12450,0,0,0,18200
S,1626,12450,0,0,0,18300
S,1622,12448,0,0,0,18400
S,1616,12451,0,0,0,18500
S,1614,12451,0,0,0,18600
S,1625,12450,0,0,0,18700
S,1619,12445,0,0,0,18800
S,1626,12451,0,0,0,18900
S,1631,12448,0,0,0,19000
S,1627,12447,0,0,0,19100
S,1628,12445,0,0,0,19200
S,1628,12444,0,0,0,19300
S,1625,12449,0,0,0,19400
S,1625,12445,0,0,0,19500
S,1625,12446,0,0,0,19600
S,1625,12449,0,0,0,19700
S,1627,12438,0,0,0,19800
S,1641,12443,0,0,0,19900
S,1643,12448,0,0,0,20000
S,1623,12450,0,0,0,20100
S,1622,12446,0,0,0,20200
S,1632,12446,0,0,0,20300
S,1637,12451,0,0,0,20400
S,1631,12449,0,0,0,20500
S,1627,12441,0,0,0,20600
S,1626,12444,0,0,0,20700
S,1638,12444,0,0,0,20800
S,1631,12452,0,0,0,20900
S,1643,12447,0,0,0,21000
S,1630,12448,0,0,0,21100
S,1638,12443,0,0,0,21200
S,1637,12444,0,0,0,21300
S,1635,12436,0,0,0,21400
S,1637,12442,0,0,0,21500
S,1646,12446,0,0,0,21600
S,1638,12439,0,0,0,21700
S,1635,12433,0,0,0,21800
S,1635,12434,0,0,0,21900
S,1634,12439,0,0,0,22000
S,1648,12438,0,0,0,22100
S,1636,12436,0,0,0,22200
S,1645,12433,0,0,0,22300
S,1634,12427,0,0,0,22400
S,1637,12435,0,0,0,22500
S,1626,12429,0,0,0,22600
S,1627,12428,0,0,0,22700
S,1613,12420,0,0,0,22800
S,1617,12418,0,0,0,22900
S,1610,12426,0,0,0,23000
S,1585,12418,0,0,0,23100
S,1558,12420,0,0,0,23200
S,1560,12420,0,0,0,23300
S,1556,12431,0,0,0,23400
S,1529,12425,0,0,0,23500
S,1519,12423,0,0,0,23600
S,1493,12428,0,0,0,23700
S,1495,12422,0,0,0,23800
S,1492,12422,0,0,0,23900
S,1451,12428,0,0,0,24000
S,1449,12424,0,0,0,24100
S,1441,12434,0,0,0,24200
S,1426,12429,0,0,0,24300
S,1397,12438,0,0,0,24400
S,1402,12433,0,0,0,24500
S,1393,12436,0,0,0,24600
S,1375,12438,0,0,0,24700
S,1356,12441,0,0,0,24800
S,1331,12442,0,0,0,24900
S,1323,12439,0,0,0,25000
S,1325,12445,0,0,0,25100
S,1320,12442,0,0,0,25200
S,1358,12443,0,0,0,25300
S,1357,12441,0,0,0,25400
S,1350,12447,0,0,0,25500
S,1379,12444,0,0,0,25600
S,1391,12447,0,0,0,25700
S,1416,12445,0,0,0,25800
S,1453,12452,0,0,0,25900
S,1451,12441,0,0,0,26000
S,1455,12445,0,0,0,26100
S,1491,12442,0,0,0,26200
S,1500,12448,0,0,0,26300
S,1515,12449,0,0,0,26400
S,1539,12452,0,0,0,26500
S,1565,12449,0,0,0,26600
S,1588,12444,0,0,0,26700
S,1590,12449,0,0,0,26800
S,1585,12449,0,0,0,26900
S,1592,12452,0,0,0,27000
S,1592,12450,0,0,0,27100
S,1592,12449,0,0,0,27200
S,1579,12443,0,0,0,27300
S,1622,12447,0,0,0,27400
S,1620,12450,0,0,0,27500
S,1613,12445,0,0,0,27600
S,1618,12446,0,0,0,27700
S,1618,12449,0,0,0,27800
S,1616,12445,0,0,0,27900
S,1619,12445,0,0,0,28000
S,1616,12452,0,0,0,28100
S,1618,12449,0,0,0,28200
S,1620,12457,0,0,0,28300
S,1610,12444,0,0,0,28400
S,1639,12449,0,0,0,28500
S,1636,12448,0,0,0,28600
S,1651,12451,0,0,0,28700
S,1654,12445,0,0,0,28800
S,1650,12449,0,0,0,28900
S,1661,12452,0,0,0,29000
S,1675,12456,0,0,0,29100
S,1666,12456,0,0,0,29200
S,1665,12456,0,0,0,29300
S,1675,12454,0,0,0,29400
S,1683,12462,0,0,0,29500
S,1674,12459,0,0,0,29600
S,1697,12468,0,0,0,29700
S,1686,12467,0,0,0,29800
S,1684,12461,0,0,0,29900
S,1689,12462,0,0,0,30000
S,1706,12466,0,0,0,30100
S,1699,12467,0,0,0,30200
S,1694,12467,0,0,0,30300
S,1693,12467,0,0,0,30400
S,1701,12467,0,0,0,30500
S,1699,12458,0,0,0,30600
S,1705,12467,0,0,0,30700
S,1701,12468,0,0,0,30800
S,1708,12466,0,0,0,30900
S,1702,12463,0,0,0,31000
S,1704,12461,0,0,0,31100
S,1697,12459,0,0,0,31200
S,1710,12462,0,0,0,31300
S,1705,12458,0,0,0,31400
S,1696,12468,0,0,0,31500
S,1706,12460,0,0,0,31600
S,1697,12453,0,0,0,31700
S,1697,12456,0,0,0,31800
S,1700,12458,0,0,0,31900
S,1708,12463,0,0,0,32000
S,1695,12461,0,0,0,32100
S,1707,12456,0,0,0,32200
S,1703,12453,0,0,0,32300
S,1698,12453,0,0,0,32400
S,1709,12455,0,0,0,32500
S,1709,12455,0,0,0,32600
S,1708,12456,0,0,0,32700
S,1709,12452,0,0,0,32800
S,1707,12457,0,0,0,32900
S,1694,12457,0,0,0,33000
S,1701,12452,0,0,0,33100
S,1703,12455,0,0,0,33200
S,1699,12458,0,0,0,33300
S,1696,12459,0,0,0,33400
S,1696,12452,0,0,0,33500
S,1702,12458,0,0,0,33600
S,1697,12452,0,0,0,33700
S,1698,12450,0,0,0,33800
S,1700,12454,0,0,0,33900
S,1695,12448,0,0,0,34000
S,1701,12450,0,0,0,34100
S,1704,12452,0,0,0,34200
S,1728,12469,0,0,0,34300
S,1795,12499,0,0,0,34400
S,1861,12526,0,0,0,34500
S,1873,12517,0,0,0,34600
S,1872,12511,0,0,0,34700
S,1878,12500,0,0,0,34800
S,1876,12494,0,0,0,34900
S,1883,12485,0,0,0,35000
S,1877,12490,0,0,0,35100
S,1878,12489,0,0,0,35200
S,2407,10393,0,0,0,35300
S,2881,9502,0,0,0,35400
S,3059,9279,0,0,0,35500
S,3124,9231,0,0,0,35600
S,3147,9205,0,0,0,35700
S,3180,9165,0,0,0,35800
S,3194,9152,0,0,0,35900
S,3213,9165,0,0,0,36000
S,3215,9152,0,0,0,36100
S,3223,9153,0,0,0,36200
S,3227,9167,0,0,0,36300
S,3223,9162,0,0,0,36400
S,3233,9162,0,0,0,36500
S,3239,9156,0,0,0,36600
S,3236,9157,0,0,0,36700
S,3230,9163,0,0,0,36800
S,3242,9156,0,0,0,36900
S,3234,9171,0,0,0,37000
S,3241,9170,0,0,0,37100
S,3283,9165,0,0,0,37200
S,3241,9155,0,0,0,37300
S,3254,9154,0,0,0,37400
S,3250,9157,0,0,0,37500
S,3240,9157,0,0,0,37600
S,3247,9156,0,0,0,37700
S,3259,9164,0,0,0,37800
S,3247,9177,0,0,0,37900
S,3258,9160,0,0,0,38000
S,3280,9177,0,0,0,38100
S,3298,9177,0,0,0,38200
S,3279,9164,0,0,0,38300
S,3288,9179,0,0,0,38400
S,3277,9167,0,0,0,38500
S,3275,9184,0,0,0,38600
S,3301,9186,0,0,0,38700
S,3250,9181,0,0,0,38800
S,3286,9182,0,0,0,38900
S,3282,9178,0,0,0,39000
S,3276,9181,0,0,0,39100
S,3297,9195,0,0,0,39200
S,1936,12340,0,0,0,39300
S,1924,12333,0,0,0,39400
S,1915,12344,0,0,0,39500
S,1903,12344,0,0,0,39600
S,1894,12340,0,0,0,39700
S,1902,12341,0,0,0,39800
S,1901,12341,0,0,0,39900
S,1907,12342,0,0,0,40000
S,1895,12344,0,0,0,40100
S,1895,12341,0,0,0,40200
S,1885,12335,1,0,0,40300
S,1789,12340,1,0,0,40400
S,1660,12341,1,0,0,40500
S,1308,12340,1,0,0,40600
S,1020,12350,1,0,0,40700
S,876,12339,1,0,0,40800
S,810,12340,1,0,0,40900
S,749,12339,1,0,0,41000
S,780,12336,1,0,0,41100
S,764,12343,1,0,0,41200
S,808,12128,1,0,0,41300
S,777,12220,1,0,0,41400
