n,ir_data, pressure, x_location, y_location, sequence, attachment_tries, time
S,1905,12489,0,0,0,0,10700
S,1895,12495,0,0,0,0,10800
S,1888,12494,0,0,0,0,10900
S,1903,12497,0,0,0,0,11000
S,1890,12489,0,0,0,0,11100
S,1896,12495,0,0,0,0,11200
S,1895,12493,0,0,0,0,11300
S,1896,12491,0,0,0,0,11400
S,1898,12492,0,0,0,0,11500
S,1892,12491,0,0,0,0,11600
S,1900,12488,0,0,0,0,11700
S,1893,12497,0,0,0,0,11800
S,1891,12493,0,0,0,0,11900
S,1889,12501,0,0,0,0,12000
S,1894,12489,0,0,0,0,12100
S,1892,12486,0,0,0,0,12200
S,1882,12495,0,0,0,0,12300
S,1909,12498,0,0,0,0,12400
S,1881,12492,0,0,0,0,12500
S,1896,12493,0,0,0,0,12600
S,1900,12495,0,0,0,0,12700
S,1893,12489,0,0,0,0,12800
S,1897,12489,0,0,0,0,12900
S,1893,12495,0,0,0,0,13000
S,1892,12491,0,0,0,0,13100
S,1883,12490,0,0,0,0,13200
S,1881,12490,0,0,0,0,13300
S,1901,12492,0,0,0,0,13400
S,1883,12487,0,0,0,0,13500
S,1888,12493,0,0,0,0,13600
S,1891,12495,0,0,0,0,13700
S,1895,12494,0,0,0,0,13800
S,1891,12476,0,0,0,0,13900
S,1833,12441,0,0,0,0,14000
S,1583,12489,0,0,0,0,14100
S,1314,12490,0,0,0,0,14200
S,1103,12491,0,0,0,0,14300
S,1008,12491,0,0,0,0,14400
S,1009,12492,0,0,0,0,14500
S,938,12489,0,0,0,0,14600
S,965,12493,0,0,0,0,14700
S,952,12491,0,0,0,0,14800
S,951,12489,0,0,0,0,14900
S,954,12491,0,0,0,0,15000
S,947,12493,0,0,0,0,15100
S,933,12491,0,0,0,0,15200
S,971,12491,0,0,0,0,15300
S,885,12496,0,0,0,0,15400
S,853,12490,0,0,0,0,15500
S,813,12498,0,0,0,0,15600
S,746,12490,0,0,0,0,15700
S,711,12499,0,0,0,0,15800
S,726,12491,0,0,0,0,15900
S,726,12493,0,0,0,0,16000
S,749,12494,0,0,0,0,16100
S,716,12490,0,0,0,0,16200
S,724,12493,0,0,0,0,16300
S,724,12493,0,0,0,0,16400
S,742,12492,0,0,0,0,16500
S,729,12493,0,0,0,0,16600
S,719,12492,0,0,0,0,16700
S,731,12491,0,0,0,0,16800
S,722,12491,0,0,0,0,16900
S,722,12492,0,0,0,0,17000
S,719,12491,0,0,0,0,17100
S,734,12494,0,0,0,0,17200
S,724,12491,0,0,0,0,17300
S,733,12494,0,0,0,0,17400
S,729,12490,0,0,0,0,17500
S,730,12497,0,0,0,0,17600
S,725,12493,0,0,0,0,17700
S,723,12497,0,0,0,0,17800
S,725,12491,0,0,0,0,17900
S,730,12494,0,0,0,0,18000
S,718,12490,0,0,0,0,18100
S,724,12484,0,0,0,0,18200
S,734,12495,0,0,0,0,18300
S,725,12493,0,0,0,0,18400
S,754,12492,0,0,0,0,18500
S,753,12494,0,0,0,0,18600
S,713,12493,0,0,0,0,18700
S,731,12498,0,0,0,0,18800
S,736,12490,0,0,0,0,18900
S,723,12487,0,0,0,0,19000
S,738,12491,0,0,0,0,19100
S,735,12490,0,0,0,0,19200
S,723,12489,0,0,0,0,19300
S,720,12492,0,0,0,0,19400
S,751,12487,0,0,0,0,19500
S,724,12494,0,0,0,0,19600
S,743,12495,0,0,0,0,19700
S,719,12490,0,0,0,0,19800
S,744,12491,0,0,0,0,19900
S,719,12490,0,0,0,0,20000
S,737,12493,0,0,0,0,20100
S,724,12495,0,0,0,0,20200
S,712,12491,0,0,0,0,20300
S,712,12497,0,0,0,0,20400
S,753,12488,0,0,0,0,20500
S,720,12493,0,0,0,0,20600
S,721,12492,0,0,0,0,20700
S,770,12491,0,0,0,0,20800
S,742,12490,0,0,0,0,20900
S,744,12492,0,0,0,0,21000
S,774,12492,0,0,0,0,21100
S,853,12489,0,0,0,0,21200
S,949,12492,0,0,0,0,21300
S,801,12493,0,0,0,0,21400
S,809,12485,0,0,0,0,21500
S,872,12491,0,0,0,0,21600
S,812,12493,0,0,0,0,21700
S,786,12491,0,0,0,0,21800
S,786,12496,0,0,0,0,21900
S,796,12488,0,0,0,0,22000
S,756,12490,0,0,0,0,22100
S,759,12488,0,0,0,0,22200
S,755,12495,0,0,0,0,22300
S,763,12493,0,0,0,0,22400
S,771,12496,0,0,0,0,22500
S,781,12488,0,0,0,0,22600
S,758,12486,0,0,0,0,22700
S,738,12486,0,0,0,0,22800
S,788,12490,0,0,0,0,22900
S,823,12491,0,0,0,0,23000
S,652,12484,0,0,0,0,23100
S,635,12496,0,0,0,0,23200
S,620,12490,0,0,0,0,23300
S,636,12493,0,0,0,0,23400
S,384,12489,0,0,0,0,23500
S,665,12528,0,0,0,0,23600
S,649,12491,0,0,0,0,23700
S,634,12495,0,0,0,0,23800
S,648,12493,0,0,0,0,23900
S,644,12486,0,0,0,0,24000
S,621,12486,0,0,0,0,24100
S,637,12492,0,0,0,0,24200
S,646,12491,0,0,0,0,24300
S,631,12492,0,0,0,0,24400
S,639,12495,0,0,0,0,24500
S,634,12490,0,0,0,0,24600
S,640,12494,0,0,0,0,24700
S,631,12496,0,0,0,0,24800
S,653,12492,0,0,0,0,24900
S,636,12493,0,0,0,0,25000
S,655,12494,0,0,0,0,25100
S,632,12493,0,0,0,0,25200
S,653,12488,0,0,0,0,25300
S,643,12492,0,0,0,0,25400
S,621,12495,0,0,0,0,25500
S,638,12496,0,0,0,0,25600
S,635,12489,0,0,0,0,25700
S,648,12485,0,0,0,0,25800
S,646,12495,0,0,0,0,25900
S,648,12496,0,0,0,0,26000
S,645,12488,0,0,0,0,26100
S,653,12490,0,0,0,0,26200
S,644,12493,0,0,0,0,26300
S,645,12491,0,0,0,0,26400
S,641,12491,0,0,0,0,26500
S,621,12490,0,0,0,0,26600
S,633,12493,0,0,0,0,26700
S,643,12495,0,0,0,0,26800
S,633,12492,0,0,0,0,26900
S,644,12494,0,0,0,0,27000
S,634,12494,0,0,0,0,27100
S,628,12495,0,0,0,0,27200
S,648,12499,0,0,0,0,27300
S,635,12491,0,0,0,0,27400
S,646,12493,0,0,0,0,27500
S,627,12493,0,0,0,0,27600
S,636,12498,0,0,0,0,27700
S,623,12496,0,0,0,0,27800
S,637,12488,0,0,0,0,27900
S,642,12492,0,0,0,0,28000
S,640,12494,0,0,0,0,28100
S,641,12496,0,0,0,0,28200
S,645,12494,0,0,0,0,28300
S,627,12494,0,0,0,0,28400
S,644,12497,0,0,0,0,28500
S,642,12492,0,0,0,0,28600
S,636,12492,0,0,0,0,28700
S,630,12493,0,0,0,0,28800
S,631,12498,0,0,0,0,28900
S,650,12491,0,0,0,0,29000
S,635,12492,0,0,0,0,29100
S,639,12493,0,0,0,0,29200
S,634,12496,0,0,0,0,29300
S,643,12491,0,0,0,0,29400
S,646,12492,0,0,0,0,29500
S,650,12489,0,0,0,0,29600
S,643,12494,0,0,0,0,29700
S,631,12494,0,0,0,0,29800
S,642,12493,0,0,0,0,29900
S,647,12492,0,0,0,0,30000
S,641,12498,0,0,0,0,30100
S,638,12495,0,0,0,0,30200
S,645,12498,0,0,0,0,30300
S,639,12486,0,0,0,0,30400
S,647,12498,0,0,0,0,30500
S,636,12483,0,0,0,0,30600
S,629,12493,0,0,0,0,30700
S,639,12495,0,0,0,0,30800
S,623,12491,0,0,0,0,30900
S,644,12494,0,0,0,0,31000
S,633,12493,0,0,0,0,31100
S,642,12490,0,0,0,0,31200
S,637,12498,0,0,0,0,31300
S,641,12499,0,0,0,0,31400
S,646,12491,0,0,0,0,31500
S,639,12493,0,0,0,0,31600
S,644,12497,0,0,0,0,31700
S,628,12494,0,0,0,0,31800
S,634,12495,0,0,0,0,31900
S,651,12495,0,0,0,0,32000
S,633,12492,0,0,0,0,32100
S,627,12489,0,0,0,0,32200
S,642,12497,0,0,0,0,32300
S,628,12493,0,0,0,0,32400
S,624,12492,0,0,0,0,32500
S,654,12492,0,0,0,0,32600
S,623,12486,0,0,0,0,32700
S,636,12485,0,0,0,0,32800
S,634,12491,0,0,0,0,32900
S,645,12489,0,0,0,0,33000
S,645,12491,0,0,0,0,33100
S,635,12494,0,0,0,0,33200
S,639,12495,0,0,0,0,33300
S,637,12492,0,0,0,0,33400
S,641,12492,0,0,0,0,33500
S,641,12494,0,0,0,0,33600
S,628,12488,0,0,0,0,33700
S,649,12493,0,0,0,0,33800
S,643,12494,0,0,0,0,33900
S,646,12489,0,0,0,0,34000
