n,ir_data, pressure, x_location, y_location, sequence, time
S,1984,12422,0,0,0,12400
S,1976,12423,0,0,0,12500
S,1971,12425,0,0,0,12600
S,1986,12424,0,0,0,12700
S,1968,12424,0,0,0,12800
S,1979,12424,0,0,0,12900
S,1979,12422,0,0,0,13000
S,1977,12424,0,0,0,13100
S,1974,12421,0,0,0,13200
S,1968,12420,0,0,0,13300
S,1967,12426,0,0,0,13400
S,1974,12423,0,0,0,13500
S,1973,12422,0,0,0,13600
S,1975,12421,0,0,0,13700
S,1951,12418,0,0,0,13800
S,1959,12417,0,0,0,13900
S,1950,12420,0,0,0,14000
S,1961,12422,0,0,0,14100
S,1961,12416,0,0,0,14200
S,1952,12418,0,0,0,14300
S,1957,12409,0,0,0,14400
S,1947,12408,0,0,0,14500
S,1937,12412,0,0,0,14600
S,1955,12406,0,0,0,14700
S,1933,12411,0,0,0,14800
S,1934,12411,0,0,0,14900
S,1958,12412,0,0,0,15000
S,1943,12413,0,0,0,15100
S,1939,12413,0,0,0,15200
S,1945,12414,0,0,0,15300
S,1947,12415,0,0,0,15400
S,1951,12413,0,0,0,15500
S,1954,12413,0,0,0,15600
S,1936,12415,0,0,0,15700
S,1944,12412,0,0,0,15800
S,1930,12418,0,0,0,15900
S,1933,12410,0,0,0,16000
S,1945,12413,0,0,0,16100
S,1944,12416,0,0,0,16200
S,1943,12416,0,0,0,16300
S,1951,12425,0,0,0,16400
S,1962,12425,0,0,0,16500
S,1947,12419,0,0,0,16600
S,1962,12421,0,0,0,16700
S,1955,12423,0,0,0,16800
S,1935,12410,0,0,0,16900
S,1879,12380,0,0,0,17000
S,1687,12426,0,0,0,17100
S,1322,12428,0,0,0,17200
S,1103,12419,0,0,0,17300
S,984,12418,0,0,0,17400
S,931,12420,0,0,0,17500
S,915,12422,0,0,0,17600
S,889,12415,0,0,0,17700
S,857,12425,0,0,0,17800
S,810,12419,0,0,0,17900
S,758,12421,0,0,0,18000
S,678,12419,0,0,0,18100
S,672,12424,0,0,0,18200
S,649,12421,0,0,0,18300
S,658,12418,0,0,0,18400
S,652,12418,0,0,0,18500
S,652,12425,0,0,0,18600
S,630,12416,0,0,0,18700
S,618,12425,0,0,0,18800
S,619,12425,0,0,0,18900
S,615,12421,0,0,0,19000
S,613,12422,0,0,0,19100
S,612,12421,0,0,0,19200
S,619,12421,0,0,0,19300
S,623,12421,0,0,0,19400
S,621,12421,0,0,0,19500
S,617,12425,0,0,0,19600
S,617,12422,0,0,0,19700
S,612,12426,0,0,0,19800
S,594,12421,0,0,0,19900
S,596,12424,0,0,0,20000
S,623,12419,0,0,0,20100
S,587,12420,0,0,0,20200
S,583,12424,0,0,0,20300
S,611,12424,0,0,0,20400
S,595,12420,0,0,0,20500
S,579,12423,0,0,0,20600
S,603,12420,0,0,0,20700
S,597,12424,0,0,0,20800
S,593,12423,0,0,0,20900
S,594,12416,0,0,0,21000
S,589,12417,0,0,0,21100
S,592,12423,0,0,0,21200
S,600,12423,0,0,0,21300
S,593,12424,0,0,0,21400
S,589,12418,0,0,0,21500
S,579,12427,0,0,0,21600
S,591,12420,0,0,0,21700
S,591,12426,0,0,0,21800
S,582,12421,0,0,0,21900
S,599,12420,0,0,0,22000
S,579,12422,0,0,0,22100
S,582,12422,0,0,0,22200
S,584,12425,0,0,0,22300
S,595,12416,0,0,0,22400
S,593,12417,0,0,0,22500
S,583,12427,0,0,0,22600
S,608,12423,0,0,0,22700
S,587,12417,0,0,0,22800
S,592,12419,0,0,0,22900
S,604,12421,0,0,0,23000
S,588,12424,0,0,0,23100
S,581,12420,0,0,0,23200
S,582,12425,0,0,0,23300
S,581,12426,0,0,0,23400
S,604,12422,0,0,0,23500
S,592,12420,0,0,0,23600
S,596,12421,0,0,0,23700
S,578,12424,0,0,0,23800
S,596,12430,0,0,0,23900
S,584,12425,0,0,0,24000
S,590,12426,0,0,0,24100
S,598,12420,0,0,0,24200
S,608,12429,0,0,0,24300
S,603,12422,0,0,0,24400
S,587,12426,0,0,0,24500
S,580,12422,0,0,0,24600
S,605,12423,0,0,0,24700
S,598,12422,0,0,0,24800
