n,ir_data, pressure, x_location, y_location, sequence, time
S,1890,12445,0,0,0,9800
S,1880,12446,0,0,0,9900
S,1888,12447,0,0,0,10000
S,1888,12445,0,0,0,10100
S,1883,12447,0,0,0,10200
S,1892,12449,0,0,0,10300
S,1890,12446,0,0,0,10400
S,1884,12448,0,0,0,10500
S,1878,12447,0,0,0,10600
S,1885,12448,0,0,0,10700
S,1885,12443,0,0,0,10800
S,1889,12450,0,0,0,10900
S,1883,12440,0,0,0,11000
S,1886,12446,0,0,0,11100
S,1890,12447,0,0,0,11200
S,1883,12447,0,0,0,11300
S,1884,12449,0,0,0,11400
S,1893,12448,0,0,0,11500
S,1890,12448,0,0,0,11600
S,1885,12445,0,0,0,11700
S,1895,12445,0,0,0,11800
S,1892,12447,0,0,0,11900
S,1883,12443,0,0,0,12000
S,1892,12445,0,0,0,12100
S,1883,12448,0,0,0,12200
S,1884,12447,0,0,0,12300
S,1891,12447,0,0,0,12400
S,1887,12443,0,0,0,12500
S,1885,12450,0,0,0,12600
S,1884,12451,0,0,0,12700
S,1887,12447,0,0,0,12800
S,1889,12440,0,0,0,12900
S,1881,12447,0,0,0,13000
S,1885,12445,0,0,0,13100
S,1886,12445,0,0,0,13200
S,1888,12447,0,0,0,13300
S,1886,12451,0,0,0,13400
S,1887,12447,0,0,0,13500
S,1881,12441,0,0,0,13600
S,1888,12446,0,0,0,13700
S,1887,12447,0,0,0,13800
S,1891,12447,0,0,0,13900
S,1902,12446,0,0,0,14000
S,1893,12445,0,0,0,14100
S,1884,12443,0,0,0,14200
S,1901,12446,0,0,0,14300
S,1894,12444,0,0,0,14400
S,1889,12439,0,0,0,14500
S,1901,12441,0,0,0,14600
S,1891,12445,0,0,0,14700
S,1902,12445,0,0,0,14800
S,1891,12447,0,0,0,14900
S,1911,12446,0,0,0,15000
S,1910,12450,0,0,0,15100
S,1923,12444,0,0,0,15200
S,1920,12449,0,0,0,15300
S,1913,12444,0,0,0,15400
S,1918,12445,0,0,0,15500
S,1921,12449,0,0,0,15600
S,1915,12452,0,0,0,15700
S,1928,12446,0,0,0,15800
S,1994,12448,0,0,0,15900
S,2152,12449,0,0,0,16000
S,2356,12484,0,0,0,16100
S,2566,12574,0,0,0,16200
S,2945,12562,0,0,0,16300
S,3472,12549,0,0,0,16400
S,4002,12529,0,0,0,16500
S,4425,12513,0,0,0,16600
S,4722,12502,0,0,0,16700
S,4904,12498,0,0,0,16800
S,4967,12484,0,0,0,16900
S,4953,12477,0,0,0,17000
S,4953,12471,0,0,0,17100
S,4944,12463,0,0,0,17200
S,4945,12462,0,0,0,17300
S,4936,12463,0,0,0,17400
S,4912,12455,0,0,0,17500
S,4816,12445,0,0,0,17600
S,4599,12430,0,0,0,17700
S,4351,12397,0,0,0,17800
S,3958,12351,0,0,0,17900
S,3651,12313,0,0,0,18000
S,3470,12280,0,0,0,18100
S,3399,12276,0,0,0,18200
S,3409,12272,0,0,0,18300
S,3422,12274,0,0,0,18400
S,3398,12278,0,0,0,18500
S,3300,12249,0,0,0,18600
S,3080,12208,0,0,0,18700
S,2794,12132,0,0,0,18800
S,2499,12010,0,0,0,18900
S,2176,12452,0,0,0,19000
S,1986,12448,0,0,0,19100
S,1890,12445,0,0,0,19200
S,1881,12444,0,0,0,19300
S,1877,12445,0,0,0,19400
S,1885,12444,0,0,0,19500
S,1890,12445,0,0,0,19600
S,1878,12441,0,0,0,19700
S,1883,12451,0,0,0,19800
S,1884,12447,0,0,0,19900
S,1887,12451,0,0,0,20000
S,1886,12443,0,0,0,20100
S,1886,12445,0,0,0,20200
S,1897,12448,0,0,0,20300
S,1892,12449,0,0,0,20400
S,1888,12444,0,0,0,20500
S,1881,12447,0,0,0,20600
S,1813,12451,0,0,0,20700
S,1669,12447,0,0,0,20800
S,1553,12446,0,0,0,20900
S,1459,12445,0,0,0,21000
S,1382,12445,0,0,0,21100
S,1349,12444,0,0,0,21200
S,1326,12448,0,0,0,21300
S,1345,12449,0,0,0,21400
S,1344,12441,0,0,0,21500
S,1341,12451,0,0,0,21600
S,1329,12451,0,0,0,21700
S,1330,12446,0,0,0,21800
S,1337,12447,0,0,0,21900
S,1336,12448,0,0,0,22000
S,1346,12446,0,0,0,22100
S,1328,12448,0,0,0,22200
S,1340,12443,0,0,0,22300
S,1347,12442,0,0,0,22400
S,1343,12447,0,0,0,22500
S,1333,12445,0,0,0,22600
S,1335,12449,0,0,0,22700
S,1339,12446,0,0,0,22800
S,1342,12446,0,0,0,22900
S,1353,12448,0,0,0,23000
S,1344,12443,0,0,0,23100
S,1333,12443,0,0,0,23200
S,1346,12450,0,0,0,23300
S,1334,12446,0,0,0,23400
S,1351,12448,0,0,0,23500
S,1352,12449,0,0,0,23600
S,1344,12446,0,0,0,23700
S,1338,12444,0,0,0,23800
S,1353,12442,0,0,0,23900
S,1342,12448,0,0,0,24000
S,1349,12444,0,0,0,24100
S,1339,12447,0,0,0,24200
S,1355,12441,0,0,0,24300
S,1346,12447,0,0,0,24400
S,1349,12440,0,0,0,24500
S,1346,12441,0,0,0,24600
S,1349,12446,0,0,0,24700
S,1350,12448,0,0,0,24800
S,1344,12448,0,0,0,24900
S,1352,12446,0,0,0,25000
S,1347,12448,0,0,0,25100
S,1344,12445,0,0,0,25200
S,1347,12445,0,0,0,25300
S,1357,12449,0,0,0,25400
S,1352,12447,0,0,0,25500
S,1338,12450,0,0,0,25600
S,1345,12444,0,0,0,25700
S,1358,12441,0,0,0,25800
S,1366,12445,0,0,0,25900
S,1349,12441,0,0,0,26000
S,1349,12443,0,0,0,26100
S,1351,12453,0,0,0,26200
S,1351,12445,0,0,0,26300
S,1337,12444,0,0,0,26400
S,1343,12449,0,0,0,26500
S,1345,12443,0,0,0,26600
S,1340,12449,0,0,0,26700
S,1364,12440,0,0,0,26800
S,1352,12443,0,0,0,26900
S,1349,12444,0,0,0,27000
S,1360,12451,0,0,0,27100
S,1347,12447,0,0,0,27200
S,1350,12449,0,0,0,27300
S,1354,12445,0,0,0,27400
S,1341,12444,0,0,0,27500
S,1349,12443,0,0,0,27600
S,1351,12448,0,0,0,27700
S,1350,12445,0,0,0,27800
S,1347,12447,0,0,0,27900
S,1350,12439,0,0,0,28000
S,1342,12447,0,0,0,28100
S,1349,12445,0,0,0,28200
S,1357,12447,0,0,0,28300
S,1354,12443,0,0,0,28400
S,1326,12443,0,0,0,28500
S,1338,12447,0,0,0,28600
S,1351,12446,0,0,0,28700
S,1357,12447,0,0,0,28800
S,1352,12449,0,0,0,28900
S,1354,12452,0,0,0,29000
S,1353,12445,0,0,0,29100
S,1341,12443,0,0,0,29200
S,1349,12447,0,0,0,29300
S,1353,12448,0,0,0,29400
S,1361,12443,0,0,0,29500
S,1353,12444,0,0,0,29600
S,1343,12447,0,0,0,29700
S,1356,12442,0,0,0,29800
S,1364,12448,0,0,0,29900
S,1355,12442,0,0,0,30000
S,1354,12442,0,0,0,30100
S,1350,12442,0,0,0,30200
S,1352,12442,0,0,0,30300
S,1345,12444,0,0,0,30400
S,1367,12448,0,0,0,30500
S,1430,12447,0,0,0,30600
S,1478,12443,0,0,0,30700
S,1608,12445,0,0,0,30800
S,1730,12447,0,0,0,30900
S,1864,12448,0,0,0,31000
S,1905,12445,0,0,0,31100
S,1913,12443,0,0,0,31200
S,1907,12446,0,0,0,31300
S,1911,12448,0,0,0,31400
S,1911,12447,0,0,0,31500
S,1909,12446,0,0,0,31600
S,1761,12443,0,0,0,31700
S,1628,12445,0,0,0,31800
S,1509,12447,0,0,0,31900
S,1438,12446,0,0,0,32000
S,1391,12444,0,0,0,32100
S,1375,12448,0,0,0,32200
S,1360,12445,0,0,0,32300
S,1357,12441,0,0,0,32400
S,1356,12447,0,0,0,32500
S,1384,12446,0,0,0,32600
S,1421,12451,0,0,0,32700
S,1503,12446,0,0,0,32800
S,1627,12447,0,0,0,32900
S,1747,12447,0,0,0,33000
S,1876,12445,0,0,0,33100
S,1927,12445,0,0,0,33200
S,1928,12444,0,0,0,33300
S,1912,12440,0,0,0,33400
S,1917,12441,0,0,0,33500
S,1921,12447,0,0,0,33600
S,1927,12447,0,0,0,33700
S,1919,12448,0,0,0,33800
S,1927,12445,0,0,0,33900
S,1928,12446,0,0,0,34000
S,1923,12447,0,0,0,34100
S,1923,12449,0,0,0,34200
S,1921,12447,0,0,0,34300
S,1927,12444,0,0,0,34400
S,1931,12447,0,0,0,34500
S,1933,12447,0,0,0,34600
S,1938,12450,0,0,0,34700
S,1933,12448,0,0,0,34800
S,1932,12450,0,0,0,34900
S,1942,12444,0,0,0,35000
S,1939,12447,0,0,0,35100
S,1952,12443,0,0,0,35200
S,1942,12443,0,0,0,35300
S,1948,12449,0,0,0,35400
S,1959,12450,0,0,0,35500
S,1939,12444,0,0,0,35600
S,1952,12446,0,0,0,35700
S,1959,12446,0,0,0,35800
S,1944,12444,0,0,0,35900
S,1947,12449,0,0,0,36000
S,1962,12447,0,0,0,36100
S,1954,12449,0,0,0,36200
S,1947,12441,0,0,0,36300
S,1954,12448,0,0,0,36400
S,1948,12443,0,0,0,36500
S,1955,12448,0,0,0,36600
S,1944,12445,0,0,0,36700
S,1951,12447,0,0,0,36800
S,1950,12449,0,0,0,36900
S,1953,12447,0,0,0,37000
S,1951,12448,0,0,0,37100
S,1955,12444,0,0,0,37200
S,1969,12444,0,0,0,37300
S,1970,12446,0,0,0,37400
S,1967,12448,0,0,0,37500
S,1962,12447,0,0,0,37600
S,1965,12447,0,0,0,37700
S,1958,12444,0,0,0,37800
S,1961,12447,0,0,0,37900
S,1970,12449,0,0,0,38000
S,1971,12443,0,0,0,38100
S,1958,12450,0,0,0,38200
S,1957,12444,0,0,0,38300
S,1967,12450,0,0,0,38400
S,1975,12444,0,0,0,38500
S,1956,12445,0,0,0,38600
S,1976,12444,0,0,0,38700
S,1967,12448,0,0,0,38800
S,1956,12439,0,0,0,38900
S,1955,12445,0,0,0,39000
S,1986,12447,0,0,0,39100
S,1963,12447,0,0,0,39200
S,1974,12444,0,0,0,39300
S,1981,12451,0,0,0,39400
S,1982,12443,0,0,0,39500
S,1966,12449,0,0,0,39600
S,1982,12449,0,0,0,39700
S,1982,12441,0,0,0,39800
S,1974,12448,0,0,0,39900
S,1979,12448,0,0,0,40000
S,1983,12446,0,0,0,40100
S,1974,12445,0,0,0,40200
S,1985,12444,0,0,0,40300
S,1980,12447,0,0,0,40400
S,1979,12449,0,0,0,40500
S,1984,12451,0,0,0,40600
S,1990,12445,0,0,0,40700
S,1988,12443,0,0,0,40800
S,1971,12446,0,0,0,40900
S,1984,12445,0,0,0,41000
S,1989,12440,0,0,0,41100
S,1991,12443,0,0,0,41200
S,1994,12445,0,0,0,41300
S,1988,12445,0,0,0,41400
S,1991,12443,0,0,0,41500
S,1991,12449,0,0,0,41600
S,1997,12446,0,0,0,41700
S,1998,12445,0,0,0,41800
S,1987,12445,0,0,0,41900
S,1992,12444,0,0,0,42000
S,1991,12452,0,0,0,42100
S,1995,12449,0,0,0,42200
S,1994,12441,0,0,0,42300
S,1997,12445,0,0,0,42400
S,1998,12450,0,0,0,42500
S,2005,12447,0,0,0,42600
S,1997,12450,0,0,0,42700
S,2000,12449,0,0,0,42800
S,1996,12448,0,0,0,42900
S,2005,12448,0,0,0,43000
S,2007,12440,0,0,0,43100
S,2001,12444,0,0,0,43200
S,2006,12446,0,0,0,43300
S,2014,12449,0,0,0,43400
S,1998,12448,0,0,0,43500
S,2001,12447,0,0,0,43600
S,1999,12443,0,0,0,43700
S,1999,12445,0,0,0,43800
S,2002,12448,0,0,0,43900
S,2005,12447,0,0,0,44000
S,2009,12453,0,0,0,44100
S,2002,12445,0,0,0,44200
S,2012,12447,0,0,0,44300
S,1994,12449,0,0,0,44400
S,1998,12448,0,0,0,44500
S,1987,12444,0,0,0,44600
S,1998,12446,0,0,0,44700
S,1989,12445,0,0,0,44800
S,1993,12443,0,0,0,44900
S,1992,12445,0,0,0,45000
S,1997,12445,0,0,0,45100
S,1994,12444,0,0,0,45200
S,2003,12448,0,0,0,45300
S,2002,12447,0,0,0,45400
S,2001,12444,0,0,0,45500
S,2000,12445,0,0,0,45600
S,2002,12451,0,0,0,45700
S,2002,12447,0,0,0,45800
S,2001,12449,0,0,0,45900
S,1997,12446,0,0,0,46000
S,2010,12446,0,0,0,46100
S,2003,12455,0,0,0,46200
S,2011,12447,0,0,0,46300
S,2016,12447,0,0,0,46400
S,2002,12448,0,0,0,46500
S,2003,12449,0,0,0,46600
S,2003,12447,0,0,0,46700
S,2002,12447,0,0,0,46800
S,2010,12441,0,0,0,46900
S,2009,12445,0,0,0,47000
S,2020,12451,0,0,0,47100
S,2010,12451,0,0,0,47200
S,2011,12448,0,0,0,47300
S,2014,12451,0,0,0,47400
S,2013,12447,0,0,0,47500
S,2014,12442,0,0,0,47600
S,2025,12441,0,0,0,47700
S,2020,12450,0,0,0,47800
S,2017,12444,0,0,0,47900
S,2016,12446,0,0,0,48000
S,2015,12449,0,0,0,48100
S,2022,12452,0,0,0,48200
S,2003,12443,0,0,0,48300
S,2026,12451,0,0,0,48400
