n,ir_data, pressure, x_location, y_location, sequence, attachment_tries, time
S,1328,12468,0,0,0,0,499000
S,1344,12461,0,0,0,0,499100
S,1356,12464,0,0,0,0,499200
S,1355,12463,0,0,0,0,499300
S,1354,12464,0,0,0,0,499400
S,1348,12464,0,0,0,0,499500
S,1349,12464,0,0,0,0,499600
S,1333,12465,0,0,0,0,499700
S,1335,12462,0,0,0,0,499800
S,1334,12468,0,0,0,0,499900
S,1341,12462,0,0,0,0,500000
S,1344,12460,0,0,0,0,500100
S,1342,12460,0,0,0,0,500200
S,1348,12462,0,0,0,0,500300
S,1353,12468,0,0,0,0,500400
S,1347,12465,0,0,0,0,500500
S,1353,12462,0,0,0,0,500600
S,1351,12470,0,0,0,0,500700
S,1336,12462,0,0,0,0,500800
S,1353,12469,0,0,0,0,500900
S,1356,12462,0,0,0,0,501000
S,1345,12464,0,0,0,0,501100
S,1347,12464,0,0,0,0,501200
S,1341,12461,0,0,0,0,501300
S,1342,12461,0,0,0,0,501400
S,1348,12462,0,0,0,0,501500
S,1344,12459,0,0,0,0,501600
S,1342,12464,0,0,0,0,501700
S,1342,12470,0,0,0,0,501800
S,1342,12466,0,0,0,0,501900
S,1346,12467,0,0,0,0,502000
S,1332,12467,0,0,0,0,502100
S,1321,12466,0,0,0,0,502200
S,1347,12463,0,0,0,0,502300
S,1338,12468,0,0,0,0,502400
S,1338,12468,0,0,0,0,502500
S,1354,12465,0,0,0,0,502600
S,1352,12462,0,0,0,0,502700
S,1345,12464,0,0,0,0,502800
S,1331,12465,0,0,0,0,502900
S,1347,12464,0,0,0,0,503000
S,1346,12460,0,0,0,0,503100
S,1336,12464,0,0,0,0,503200
S,1346,12463,0,0,0,0,503300
S,1348,12463,0,0,0,0,503400
S,1336,12462,0,0,0,0,503500
S,1355,12461,0,0,0,0,503600
S,1337,12459,0,0,0,0,503700
S,1341,12470,0,0,0,0,503800
S,1329,12460,0,0,0,0,503900
S,1349,12459,0,0,0,0,504000
S,1352,12464,0,0,0,0,504100
S,1349,12462,0,0,0,0,504200
S,1340,12468,0,0,0,0,504300
S,1346,12462,0,0,0,0,504400
S,1350,12462,0,0,0,0,504500
